n1	t	n2
ls:fr:node:26259	ls:fr:lf:387	ls:fr:node:31729
ls:fr:node:26259	ls:fr:lf:387	ls:fr:node:41578
ls:fr:node:26259	ls:fr:lf:288	ls:fr:node:32067
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:28007
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:42007
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:42008
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:41938
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:41939
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:41940
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:41835
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:41944
ls:fr:node:26259	ls:fr:lf:3	ls:fr:node:41945
ls:fr:node:26259	ls:fr:lf:125	ls:fr:node:41962
ls:fr:node:26259	ls:fr:lf:125	ls:fr:node:41964
ls:fr:node:26259	ls:fr:lf:2	ls:fr:node:41577
ls:fr:node:26260	ls:fr:lf:3	ls:fr:node:26256
ls:fr:node:26260	ls:fr:lf:3	ls:fr:node:29408
ls:fr:node:26261	ls:fr:lf:3	ls:fr:node:31551
ls:fr:node:26262	ls:fr:lf:20	ls:fr:node:28817
ls:fr:node:26262	ls:fr:lf:63	ls:fr:node:50543
ls:fr:node:26262	ls:fr:lf:63	ls:fr:node:28324
ls:fr:node:26262	ls:fr:lf:63	ls:fr:node:51387
ls:fr:node:26263	ls:fr:lf:3	ls:fr:node:34520
ls:fr:node:26264	ls:fr:lf:23	ls:fr:node:32272
ls:fr:node:26264	ls:fr:lf:28	ls:fr:node:31549
ls:fr:node:26267	ls:fr:lf:10	ls:fr:node:45689
ls:fr:node:26268	ls:fr:lf:3	ls:fr:node:29191
ls:fr:node:26268	ls:fr:lf:3	ls:fr:node:38268
ls:fr:node:26268	ls:fr:lf:3	ls:fr:node:47207
ls:fr:node:26268	ls:fr:lf:457	ls:fr:node:26267
ls:fr:node:26269	ls:fr:lf:28	ls:fr:node:31547
ls:fr:node:26269	ls:fr:lf:104	ls:fr:node:31548
ls:fr:node:26269	ls:fr:lf:111	ls:fr:node:33624
ls:fr:node:26269	ls:fr:lf:111	ls:fr:node:33625
ls:fr:node:26269	ls:fr:lf:170	ls:fr:node:50447
ls:fr:node:26272	ls:fr:lf:21	ls:fr:node:33628
ls:fr:node:26272	ls:fr:lf:330	ls:fr:node:39662
ls:fr:node:26272	ls:fr:lf:10	ls:fr:node:27414
ls:fr:node:26273	ls:fr:lf:8	ls:fr:node:40085
ls:fr:node:26274	ls:fr:lf:351	ls:fr:node:31560
ls:fr:node:26274	ls:fr:lf:29	ls:fr:node:35274
ls:fr:node:26275	ls:fr:lf:2	ls:fr:node:28165
ls:fr:node:26276	ls:fr:lf:28	ls:fr:node:31561
ls:fr:node:26276	ls:fr:lf:29	ls:fr:node:31562
ls:fr:node:26276	ls:fr:lf:74	ls:fr:node:28113
ls:fr:node:26278	ls:fr:lf:3	ls:fr:node:27805
ls:fr:node:26279	ls:fr:lf:63	ls:fr:node:35338
ls:fr:node:26279	ls:fr:lf:20	ls:fr:node:49769
ls:fr:node:26280	ls:fr:lf:387	ls:fr:node:31565
ls:fr:node:26280	ls:fr:lf:104	ls:fr:node:31566
ls:fr:node:26280	ls:fr:lf:3	ls:fr:node:54752
ls:fr:node:26280	ls:fr:lf:3	ls:fr:node:40829
ls:fr:node:26281	ls:fr:lf:3	ls:fr:node:49082
ls:fr:node:26281	ls:fr:lf:217	ls:fr:node:44140
ls:fr:node:26282	ls:fr:lf:366	ls:fr:node:31531
ls:fr:node:26283	ls:fr:lf:31	ls:fr:node:31536
ls:fr:node:26283	ls:fr:lf:31	ls:fr:node:31534
ls:fr:node:26283	ls:fr:lf:104	ls:fr:node:31533
ls:fr:node:26284	ls:fr:lf:30	ls:fr:node:31540
ls:fr:node:26284	ls:fr:lf:30	ls:fr:node:31538
ls:fr:node:26285	ls:fr:lf:16	ls:fr:node:38285
ls:fr:node:26285	ls:fr:lf:3	ls:fr:node:38459
ls:fr:node:26285	ls:fr:lf:3	ls:fr:node:30274
ls:fr:node:26286	ls:fr:lf:21	ls:fr:node:31541
ls:fr:node:26286	ls:fr:lf:59	ls:fr:node:32255
ls:fr:node:26286	ls:fr:lf:111	ls:fr:node:31546
ls:fr:node:26287	ls:fr:lf:3	ls:fr:node:27270
ls:fr:node:26288	ls:fr:lf:366	ls:fr:node:31251
ls:fr:node:26288	ls:fr:lf:13	ls:fr:node:34158
ls:fr:node:26289	ls:fr:lf:21	ls:fr:node:46903
ls:fr:node:26289	ls:fr:lf:3	ls:fr:node:53172
ls:fr:node:26290	ls:fr:lf:3	ls:fr:node:49732
ls:fr:node:26290	ls:fr:lf:3	ls:fr:node:55587
ls:fr:node:26291	ls:fr:lf:13	ls:fr:node:27309
ls:fr:node:26291	ls:fr:lf:387	ls:fr:node:31559
ls:fr:node:26291	ls:fr:lf:28	ls:fr:node:32470
ls:fr:node:26291	ls:fr:lf:126	ls:fr:node:38797
ls:fr:node:26291	ls:fr:lf:126	ls:fr:node:38513
ls:fr:node:26291	ls:fr:lf:126	ls:fr:node:38724
ls:fr:node:26291	ls:fr:lf:126	ls:fr:node:38424
ls:fr:node:26291	ls:fr:lf:126	ls:fr:node:38420
ls:fr:node:26291	ls:fr:lf:126	ls:fr:node:38414
ls:fr:node:26291	ls:fr:lf:3	ls:fr:node:33209
ls:fr:node:26291	ls:fr:lf:3	ls:fr:node:38448
ls:fr:node:26291	ls:fr:lf:3	ls:fr:node:32660
ls:fr:node:26291	ls:fr:lf:427	ls:fr:node:38426
ls:fr:node:26291	ls:fr:lf:427	ls:fr:node:38428
ls:fr:node:26291	ls:fr:lf:125	ls:fr:node:38430
ls:fr:node:26291	ls:fr:lf:125	ls:fr:node:38437
