"source"	"target"	"type"	"subtype"
"ls:fr:node:26471"	"ls:fr:node:39568"	"ls:fr:cptype:2"	""
"ls:fr:node:26767"	"ls:fr:node:40284"	"ls:fr:cptype:2"	""
"ls:fr:node:26767"	"ls:fr:node:30392"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:30392"	"ls:fr:node:30408"	"ls:fr:cptype:2"	""
"ls:fr:node:26767"	"ls:fr:node:30421"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:26767"	"ls:fr:node:30427"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:34311"	"ls:fr:node:44683"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29873"	"ls:fr:node:39563"	"ls:fr:cptype:2"	""
"ls:fr:node:33391"	"ls:fr:node:39616"	"ls:fr:cptype:2"	""
"ls:fr:node:29725"	"ls:fr:node:31081"	"ls:fr:cptype:2"	""
"ls:fr:node:46284"	"ls:fr:node:46272"	"ls:fr:cptype:5"	""
"ls:fr:node:29568"	"ls:fr:node:30982"	"ls:fr:cptype:2"	""
"ls:fr:node:29568"	"ls:fr:node:30983"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:29843"	"ls:fr:node:30904"	"ls:fr:cptype:2"	""
"ls:fr:node:29843"	"ls:fr:node:45686"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:55381"	"ls:fr:node:55363"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:55381"	"ls:fr:node:55363"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:29296"	"ls:fr:node:39564"	"ls:fr:cptype:2"	""
"ls:fr:node:29451"	"ls:fr:node:47720"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:38912"	"ls:fr:node:28112"	"ls:fr:cptype:5"	""
"ls:fr:node:26710"	"ls:fr:node:43588"	"ls:fr:cptype:4"	""
"ls:fr:node:26710"	"ls:fr:node:43583"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26710"	"ls:fr:node:43116"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26710"	"ls:fr:node:43766"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28112"	"ls:fr:node:38916"	"ls:fr:cptype:4"	""
"ls:fr:node:38912"	"ls:fr:node:33441"	"ls:fr:cptype:2"	""
"ls:fr:node:38912"	"ls:fr:node:38918"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:44966"	"ls:fr:cptype:2"	""
"ls:fr:node:43340"	"ls:fr:node:44992"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45003"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45010"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45015"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45014"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45016"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45151"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45146"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45152"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45159"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:32796"	"ls:fr:node:47722"	"ls:fr:cptype:5"	""
"ls:fr:node:43340"	"ls:fr:node:45157"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45157"	"ls:fr:node:45251"	"ls:fr:cptype:5"	""
"ls:fr:node:43340"	"ls:fr:node:45148"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45148"	"ls:fr:node:45125"	"ls:fr:cptype:2"	""
"ls:fr:node:43340"	"ls:fr:node:45135"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45126"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45129"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
